"Dept_new"	"Dept_name"	"grade_type"	"total_grades"	"total_classes"	"weighted_gpa"	"grade_rank"	"major_comb"
"AAA"	"Asian/Asian American Studies"	"All"	791	32	3.38346396965866	71	"AAA: Asian/Asian American Studies"
"ACC"	"Accountancy"	"All"	13891	416	2.87702037290332	13	"ACC: Accountancy"
"ACE"	"American Culture & English"	"All"	2482	172	3.20951248992748	54	"ACE: American Culture & English"
"AES"	"Aerospace Studies"	"All"	237	17	3.58670886075949	78	"AES: Aerospace Studies"
"AMS"	"American Studies"	"All"	3812	131	3.16007345225603	46	"AMS: American Studies"
"ARB"	"Arabic"	"All"	451	32	3.22913525498891	75	"ARB: Arabic"
"ARC"	"Architecture & Interior Design"	"All"	6229	212	3.15439235832397	33	"ARC: Architecture & Interior Design"
"ART"	"Art"	"All"	13911	713	3.25457335921213	12	"ART: Art"
"ATH"	"Anthropology"	"All"	7210	243	3.12580859916782	30	"ATH: Anthropology"
"BIO"	"Biology"	"All"	26389	1048	3.03842699609686	2	"BIO: Biology"
"BIS"	"Integrative Studies"	"All"	1009	62	3.24522299306244	67	"BIS: Integrative Studies"
"BLS"	"Business Legal Studies"	"All"	4631	149	3.16564672856834	39	"BLS: Business Legal Studies"
"BTE"	"Business Technology"	"All"	4719	320	2.8947891502437	38	"BTE: Business Technology"
"BUS"	"Business Analysis"	"All"	8620	296	3.28858236658933	28	"BUS: Business Analysis"
"BWS"	"Black World Studies"	"All"	1659	68	3.0338577456299	61	"BWS: Black World Studies"
"CAS"	"College Of Arts And Science"	"All"	130	9	3.56246153846154	83	"CAS: College Of Arts And Science"
"CCA"	"College Of Creative Arts"	"All"	994	38	3.4720523138833	68	"CCA: College Of Creative Arts"
"CEC"	"College Of Engineering & Computing"	"All"	2635	44	3.47984440227704	52	"CEC: College Of Engineering & Computing"
"CHI"	"Chinese"	"All"	1727	98	3.31751013317892	60	"CHI: Chinese"
"CHM"	"Chemistry & Biochemistry"	"All"	22155	466	2.72906161137441	5	"CHM: Chemistry & Biochemistry"
"CIT"	"Comp Information Technology"	"All"	1946	125	2.85843782117163	58	"CIT: Comp Information Technology"
"CJS"	"Criminal Justice Studies"	"All"	2740	130	2.88494160583942	51	"CJS: Criminal Justice Studies"
"CLS"	"Classics"	"All"	1844	69	3.21003253796095	59	"CLS: Classics"
"CMS"	"Comparative Media Studies"	"All"	124	8	3.12459677419355	84	"CMS: Comparative Media Studies"
"CPB"	"Chemical, Paper & Biomed Engineering"	"All"	3950	180	3.14369620253165	43	"CPB: Chemical, Paper & Biomed Engineering"
"CRD"	"Civic And Regional Development"	"All"	77	6	3.30545454545455	89	"CRD: Civic And Regional Development"
"CSE"	"Computer Science & Software Engineering"	"All"	11800	515	2.99010762711864	18	"CSE: Computer Science & Software Engineering"
"DST"	"Disability Studies"	"All"	119	10	3.53966386554622	85	"DST: Disability Studies"
"ECE"	"Electrical & Computer Engineer"	"All"	2494	139	2.94534482758621	53	"ECE: Electrical & Computer Engineer"
"ECO"	"Economics"	"All"	16145	421	2.70487147723754	7	"ECO: Economics"
"EDL"	"Educational Leadership"	"All"	9471	570	3.6946879949319	25	"EDL: Educational Leadership"
"EDP"	"Educational Psychology"	"All"	10598	428	3.62583411964522	23	"EDP: Educational Psychology"
"EDT"	"Teacher Education"	"All"	15580	646	3.65659050064185	8	"EDT: Teacher Education"
"EGM"	"Engineering Management"	"All"	111	8	2.9790990990991	87	"EGM: Engineering Management"
"EHS"	"Education, Health And Society"	"All"	173	11	3.63797687861272	80	"EHS: Education, Health And Society"
"ENG"	"English"	"All"	38745	2047	3.34437088656601	1	"ENG: English"
"ENT"	"Engineering Technology"	"All"	2867	167	3.11457970003488	50	"ENT: Engineering Technology"
"ESP"	"Entrepreneurship"	"All"	4162	128	3.27786641037962	40	"ESP: Entrepreneurship"
"FAS"	"Fashion Design"	"All"	160	9	3.49875	81	"FAS: Fashion Design"
"FIN"	"Finance"	"All"	10436	296	2.93922479877348	24	"FIN: Finance"
"FRE"	"French"	"All"	3630	212	3.2229696969697	47	"FRE: French"
"FST"	"Film Studies"	"All"	1033	57	3.26493707647628	66	"FST: Film Studies"
"FSW"	"Family Studies And Social Work"	"All"	11768	404	3.42302345343304	19	"FSW: Family Studies And Social Work"
"GEO"	"Geography"	"All"	8156	228	2.98339872486513	29	"GEO: Geography"
"GER"	"German"	"All"	2297	126	3.31697431432303	56	"GER: German"
"GHS"	"Global Health Studies"	"All"	148	7	3.2802027027027	82	"GHS: Global Health Studies"
"GLG"	"Geology"	"All"	13253	357	3.15872783520712	16	"GLG: Geology"
"GRK"	"Greek"	"All"	10	1	3.3	93	"GRK: Greek"
"GTY"	"Gerontology"	"All"	3006	109	3.55108117099135	49	"GTY: Gerontology"
"HBW"	"Hebrew"	"All"	86	6	3.54872093023256	88	"HBW: Hebrew"
"HIN"	"Hindi"	"All"	30	3	3.73666666666667	92	"HIN: Hindi"
"HST"	"History"	"All"	13586	586	2.94244663624319	15	"HST: History"
"IDS"	"Interdisciplinary"	"All"	1351	63	3.39627683197631	63	"IDS: Interdisciplinary"
"IES"	"Environmental Sciences"	"All"	885	44	3.42629378531073	69	"IES: Environmental Sciences"
"IMS"	"Interactive Media Studies"	"All"	5005	265	3.54279320679321	36	"IMS: Interactive Media Studies"
"ISA"	"Information Systems & Analytics"	"All"	10650	382	2.91593145539906	22	"ISA: Information Systems & Analytics"
"ITL"	"Italian"	"All"	1178	69	3.31892190152801	64	"ITL: Italian"
"ITS"	"International Studies"	"All"	3905	156	3.20865556978233	44	"ITS: International Studies"
"JPN"	"Japanese"	"All"	881	52	3.13124858115778	70	"JPN: Japanese"
"JRN"	"Journalism"	"All"	3996	218	3.28457707707708	41	"JRN: Journalism"
"KNH"	"Kinesiology And Health"	"All"	26334	1122	3.30154249259512	3	"KNH: Kinesiology And Health"
"KOR"	"Korean"	"All"	180	11	3.70083333333333	79	"KOR: Korean"
"LAS"	"Latin American Studies"	"All"	1416	63	3.25504237288136	62	"LAS: Latin American Studies"
"LAT"	"Latin Language & Literature"	"All"	370	23	2.79802702702703	77	"LAT: Latin Language & Literature"
"LST"	"Liberal Studies"	"All"	42	3	3.12285714285714	91	"LST: Liberal Studies"
"LUX"	"Luxembourg"	"All"	695	7	3.85401438848921	73	"LUX: Luxembourg"
"MAC"	"Media And Culture"	"All"	3993	161	3.02518908089156	42	"MAC: Media And Culture"
"MBI"	"Microbiology"	"All"	8969	260	3.04688148065559	26	"MBI: Microbiology"
"MGT"	"Management"	"All"	15037	500	3.07294739642216	9	"MGT: Management"
"MKT"	"Marketing"	"All"	11155	404	3.33360555804572	21	"MKT: Marketing"
"MME"	"Mechanical & Manufacturing Engineering"	"All"	6589	329	2.83185764152375	32	"MME: Mechanical & Manufacturing Engineering"
"MTH"	"Mathematics"	"All"	22628	898	2.49592628601732	4	"MTH: Mathematics"
"MUS"	"Music"	"All"	13669	463	3.46282756602531	14	"MUS: Music"
"NSC"	"Naval Science"	"All"	784	46	3.7013137755102	72	"NSC: Naval Science"
"NSG"	"Nursing"	"All"	4865	216	3.46308735868448	37	"NSG: Nursing"
"PHL"	"Philosophy"	"All"	3878	162	3.04603145951521	45	"PHL: Philosophy"
"PHY"	"Physics"	"All"	14425	413	2.99578232235702	10	"PHY: Physics"
"PLW"	"Pre-Law Studies"	"All"	56	2	3.89482142857143	90	"PLW: Pre-Law Studies"
"POL"	"Political Science"	"All"	11408	365	3.10828278401122	20	"POL: Political Science"
"POR"	"Portuguese"	"All"	117	7	3.14931623931624	86	"POR: Portuguese"
"PSY"	"Psychology"	"All"	16741	573	3.14790872707724	6	"PSY: Psychology"
"REL"	"Comparative Religion"	"All"	2198	98	3.24750227479527	57	"REL: Comparative Religion"
"RUS"	"Russian"	"All"	429	32	3.18750582750583	76	"RUS: Russian"
"SJS"	"Social Justice Studies"	"All"	473	30	3.31790697674419	74	"SJS: Social Justice Studies"
"SOC"	"Sociology"	"All"	7093	253	3.08407866911039	31	"SOC: Sociology"
"SPA"	"Speech Pathology & Audiology"	"All"	5321	195	3.59191693290735	35	"SPA: Speech Pathology & Audiology"
"SPN"	"Spanish"	"All"	11904	605	3.03112399193548	17	"SPN: Spanish"
"STA"	"Statistics"	"All"	8773	337	2.83121053231506	27	"STA: Statistics"
"STC"	"Strategic Communication"	"All"	14282	594	3.1820473323064	11	"STC: Strategic Communication"
"THE"	"Theatre"	"All"	5560	251	3.40022482014388	34	"THE: Theatre"
"UNV"	"University"	"All"	2317	113	3.64498057833405	55	"UNV: University"
"WGS"	"Women, Gender & Sexuality Studies"	"All"	3295	154	3.31998179059181	48	"WGS: Women, Gender & Sexuality Studies"
"WST"	"Western Program"	"All"	1037	63	3.57787849566056	65	"WST: Western Program"
"ACC"	"Accountancy"	"Graduate (500 and above)"	796	30	3.53520100502513	7	"ACC: Accountancy"
"ACE"	"American Culture & English"	"Graduate (500 and above)"	10	1	4	40	"ACE: American Culture & English"
"ARC"	"Architecture & Interior Design"	"Graduate (500 and above)"	447	33	3.5121029082774	11.5	"ARC: Architecture & Interior Design"
"BIO"	"Biology"	"Graduate (500 and above)"	6328	138	3.74855404551201	1	"BIO: Biology"
"BLS"	"Business Legal Studies"	"Graduate (500 and above)"	24	1	4	37	"BLS: Business Legal Studies"
"BUS"	"Business Analysis"	"Graduate (500 and above)"	161	6	3.69167701863354	22	"BUS: Business Analysis"
"CHM"	"Chemistry & Biochemistry"	"Graduate (500 and above)"	224	21	3.52160714285714	19	"CHM: Chemistry & Biochemistry"
"CPB"	"Chemical, Paper & Biomed Engineering"	"Graduate (500 and above)"	147	11	3.77142857142857	24	"CPB: Chemical, Paper & Biomed Engineering"
"CSE"	"Computer Science & Software Engineering"	"Graduate (500 and above)"	240	17	3.56391666666667	18	"CSE: Computer Science & Software Engineering"
"ECE"	"Electrical & Computer Engineer"	"Graduate (500 and above)"	38	4	3.58552631578947	34	"ECE: Electrical & Computer Engineer"
"ECO"	"Economics"	"Graduate (500 and above)"	453	24	3.45426048565121	10	"ECO: Economics"
"EDL"	"Educational Leadership"	"Graduate (500 and above)"	2877	185	3.87903371567605	3	"EDL: Educational Leadership"
"EDP"	"Educational Psychology"	"Graduate (500 and above)"	2060	124	3.7991359223301	4	"EDP: Educational Psychology"
"EDT"	"Teacher Education"	"Graduate (500 and above)"	3051	46	3.80144215011472	2	"EDT: Teacher Education"
"EGM"	"Engineering Management"	"Graduate (500 and above)"	36	3	3.24444444444444	35	"EGM: Engineering Management"
"EHS"	"Education, Health And Society"	"Graduate (500 and above)"	140	9	3.66885714285714	25	"EHS: Education, Health And Society"
"ENG"	"English"	"Graduate (500 and above)"	1010	67	3.92782178217822	6	"ENG: English"
"FIN"	"Finance"	"Graduate (500 and above)"	447	23	3.59165548098434	11.5	"FIN: Finance"
"FRE"	"French"	"Graduate (500 and above)"	32	3	3.81	36	"FRE: French"
"FSW"	"Family Studies And Social Work"	"Graduate (500 and above)"	535	39	3.64577570093458	9	"FSW: Family Studies And Social Work"
"GEO"	"Geography"	"Graduate (500 and above)"	45	4	3.76577777777778	32	"GEO: Geography"
"GLG"	"Geology"	"Graduate (500 and above)"	57	2	3.96561403508772	30	"GLG: Geology"
"GTY"	"Gerontology"	"Graduate (500 and above)"	265	21	3.72150943396226	17	"GTY: Gerontology"
"HST"	"History"	"Graduate (500 and above)"	126	10	3.76619047619048	26	"HST: History"
"IES"	"Environmental Sciences"	"Graduate (500 and above)"	209	15	3.63038277511962	20	"IES: Environmental Sciences"
"ISA"	"Information Systems & Analytics"	"Graduate (500 and above)"	180	7	3.6015	21	"ISA: Information Systems & Analytics"
"KNH"	"Kinesiology And Health"	"Graduate (500 and above)"	592	38	3.62753378378378	8	"KNH: Kinesiology And Health"
"MBI"	"Microbiology"	"Graduate (500 and above)"	67	5	3.88611940298507	28	"MBI: Microbiology"
"MGT"	"Management"	"Graduate (500 and above)"	423	16	3.71212765957447	13	"MGT: Management"
"MKT"	"Marketing"	"Graduate (500 and above)"	273	15	3.74062271062271	16	"MKT: Marketing"
"MTH"	"Mathematics"	"Graduate (500 and above)"	155	13	3.46109677419355	23	"MTH: Mathematics"
"MUS"	"Music"	"Graduate (500 and above)"	62	6	3.59274193548387	29	"MUS: Music"
"PHL"	"Philosophy"	"Graduate (500 and above)"	39	4	3.77538461538462	33	"PHL: Philosophy"
"PHY"	"Physics"	"Graduate (500 and above)"	111	9	3.87243243243243	27	"PHY: Physics"
"POL"	"Political Science"	"Graduate (500 and above)"	50	5	3.728	31	"POL: Political Science"
"PSY"	"Psychology"	"Graduate (500 and above)"	361	28	3.83664819944598	15	"PSY: Psychology"
"SOC"	"Sociology"	"Graduate (500 and above)"	13	1	4	39	"SOC: Sociology"
"SPA"	"Speech Pathology & Audiology"	"Graduate (500 and above)"	1692	62	3.81017730496454	5	"SPA: Speech Pathology & Audiology"
"STA"	"Statistics"	"Graduate (500 and above)"	370	27	3.56432432432432	14	"STA: Statistics"
"WGS"	"Women, Gender & Sexuality Studies"	"Graduate (500 and above)"	20	2	3.955	38	"WGS: Women, Gender & Sexuality Studies"
"ACC"	"Accountancy"	"300 and 400 Level"	5919	239	2.90492312890691	7	"ACC: Accountancy"
